LIMS Auftrag;Probe;Probenahmedatum;Probenahmezeit;Gauss Hoch;Gauss Rechts;Entnahmestelle;Externe Bezeichnung;Anzeigewert;Einheit
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);Desmetryn;< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;Desmetryn;< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;Desmetryn;< 0,05;µg/l
2014-0326;0012;03.02.2014;08:25:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;;< 5;
2014-4016;0010;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;Diazepam;< 5;ng/l
2014-0326;0004;04.02.2014;09:45:00;373335,71;5657290,6;Große Heide (14);;< 5;
2014-4016;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;Diazepam;< 5;ng/l
2014-4016;0013;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Diazepam;< 5;ng/l
2014-0326;0007;04.02.2014;11:40:00;379087,89;5664390,59;Knochenmühle;;< 5;
2014-4016;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);Diazepam;< 5;ng/l
2014-0326;0003;04.02.2014;09:35:00;373158,43;5657311,86;Eichholz (13);;< 5;
2014-4016;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);Diazepam;< 5;ng/l
2014-4016;0011;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Diazepam;< 5;ng/l
2014-4016;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);Diazepam;< 5;ng/l
2014-0326;0002;04.02.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);;< 5;
2014-4016;0008;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;Diazepam;< 5;ng/l
2014-0326;0001;04.02.2014;08:35:00;373881,03;5659471,38;Engerfeld (11);;< 5;
2014-0326;0011;03.02.2014;11:35:00;379710,6;5661021,29;Zulauf Große Dhünn 17;;< 5;
2014-0326;0010;04.02.2014;11:30:00;378464,83;5663870,42;Staelsmühle;;< 5;
2014-4016;0009;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;Diazepam;< 5;ng/l
2014-0326;0008;04.02.2014;10:35:00;379828,79;5661338,53;Neumühle;;< 5;
